City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,whakatane,-37.9585,176.9854,57.78,82,64,6.46,NZ,1712413933
277,gisborne,-38.6533,178.0042,56.39,72,95,5.32,NZ,1712413865
278,flying fish cove,-10.4217,105.6791,80.28,89,75,5.75,CX,1712413936
279,st. john's,47.5649,-52.7093,38.28,86,100,14.97,CA,1712413937
280,chernyshevsk,52.5243,117.0174,22.39,45,1,5.7,RU,1712413938
281,talnakh,69.4865,88.3972,-7.01,94,89,11.12,RU,1712413939
282,richfield,44.8833,-93.283,47.17,59,0,9.22,US,1712413930
283,touros,-5.1989,-35.4608,86.86,66,47,9.84,BR,1712413942
284,talara,-4.5772,-81.2719,81.36,61,0,17.27,PE,1712413943
285,lata,40.1629,-8.3327,66.49,54,100,3.96,PT,1712413944
286,laibin,23.7,109.2667,64.42,90,100,5.95,CN,1712413946
287,kapa'a,22.0752,-159.319,71.92,72,40,23.02,US,1712413947
288,phitsanulok,16.9167,100.5,95.47,37,1,6.08,TH,1712413948
289,guerrero negro,27.9769,-114.0611,57.74,55,44,20.24,MX,1712413928
290,laojunmiao,39.8333,97.7333,45.9,41,95,6.89,CN,1712413950
291,uruacu,-14.5247,-49.1408,83.48,70,19,3.38,BR,1712413730
292,cockburn town,21.4612,-71.1419,79.29,74,1,4.92,TC,1712413953
293,buka,40.8108,69.1986,55.49,66,41,4.63,UZ,1712413954
294,tazovsky,67.4667,78.7,7.38,83,100,18.66,RU,1712413955
295,hawaiian paradise park,19.5933,-154.9731,69.87,89,75,12.66,US,1712413959
296,bull savanna,17.8868,-77.5902,81.77,62,31,6.78,JM,1712413960
297,cizre,37.3272,42.1903,78.01,33,0,6.91,TR,1712413961
298,griffith,41.5284,-87.4237,46.35,76,0,9.22,US,1712413889
299,sainte-marie,-20.8968,55.5496,82.56,78,100,3.44,RE,1712413964
300,ilhabela,-23.7781,-45.3581,80.15,69,40,3.02,BR,1712413965
301,margate,51.3813,1.3862,59.31,76,100,24.63,GB,1712413485
302,wotho,10.1657,166.0102,80.85,78,81,16.55,MH,1712413967
303,ixtapa,20.7,-105.2,63.63,88,40,3.44,MX,1712413970
304,truth or consequences,33.1284,-107.2528,48.9,42,0,12.66,US,1712413971
305,lodja,-3.4833,23.4333,78.39,73,98,3.44,CD,1712413972
306,genc,38.7507,40.5603,64.76,39,75,10.36,TR,1712413973
307,ambovombe,-25.1667,46.0833,74.44,83,100,6.71,MG,1712413975
308,melfi,40.9965,15.6514,73.96,50,59,4.03,IT,1712413976
309,sao felix do xingu,-6.6447,-51.995,82.94,70,100,4.23,BR,1712413770
310,sedhiou,12.7081,-15.5569,102.34,18,0,5.08,SN,1712413979
311,new norfolk,-42.7826,147.0587,59.72,97,100,0.65,AU,1712413981
312,vershino-darasunskiy,52.35,115.5167,24.26,41,0,9.31,RU,1712413940
313,byron bay,-28.65,153.6167,72.72,91,88,8.99,AU,1712413739
314,maragogi,-9.0122,-35.2225,86.13,64,43,8.41,BR,1712413798
315,onega,63.9061,38.1404,31.95,99,100,7.92,RU,1712413985
316,ulsteinvik,62.3432,5.8487,44.98,67,100,5.01,NO,1712413987
317,kodiak,57.79,-152.4072,26.11,74,0,4.61,US,1712413988
318,howrah,22.5892,88.3103,87.8,84,60,11.5,IN,1712413989
319,les cayes,18.2,-73.75,85.55,63,2,10.65,HT,1712413990
320,el calafate,-50.3408,-72.2768,44.46,74,79,19.95,AR,1712413734
321,nemuro,43.3236,145.575,38.37,90,3,16.46,JP,1712413993
322,copala,16.65,-98.9833,83.64,45,78,1.99,MX,1712413994
323,freetown,8.484,-13.2299,82.04,75,100,9.48,SL,1712413995
324,mount airy,36.4993,-80.6073,50.0,49,0,13.8,US,1712413835
325,rezh,57.37,61.4043,26.96,54,12,6.69,RU,1712413998
326,gibraltar,36.1447,-5.3526,71.55,53,0,11.5,GI,1712413823
327,venice,27.0998,-82.4543,75.06,61,20,10.36,US,1712413929
328,san francisco de la paz,14.9,-86.2,83.91,52,21,2.44,HN,1712414001
329,kolokani,13.5728,-8.0339,105.96,14,24,7.78,ML,1712414002
330,charlestown,-32.95,151.6667,68.41,91,82,6.4,AU,1712414004
331,jamestown,42.097,-79.2353,42.39,100,100,12.66,US,1712413798
332,piet retief,-27.0071,30.8132,60.94,95,89,4.68,ZA,1712414006
333,figuig (centre),32.1089,-1.2286,87.3,9,32,21.63,MA,1712414007
334,kudahuvadhoo,2.6708,72.8944,83.68,77,100,8.97,MV,1712414009
335,aral,40.5156,81.2636,58.6,31,1,10.07,CN,1712414010
336,kibre mengist,5.8833,38.9833,67.86,81,100,5.35,ET,1712414011
337,salinas,36.6777,-121.6555,46.81,92,0,8.05,US,1712413390
338,suva,-18.1416,178.4415,78.28,89,75,0.0,FJ,1712413920
339,grootfontein,-19.5667,18.1167,83.77,42,100,2.3,NA,1712414015
340,puerto ayacucho,5.6639,-67.6236,89.19,56,100,3.47,VE,1712414016
341,meadow lake,34.8014,-106.5436,40.06,43,34,30.69,US,1712414017
342,monterey,36.2505,-121.2516,32.9,87,3,2.46,US,1712413731
343,agdam,39.991,46.9274,57.15,63,100,3.0,AZ,1712414021
344,gaigeturi,33.4644,126.3183,53.65,82,0,6.91,KR,1712414022
345,kangding,30.0513,101.9603,43.65,99,97,3.29,CN,1712414023
346,fremantle,-32.05,115.7667,78.91,40,32,6.91,AU,1712414025
347,ta`u,-14.2336,-169.5144,82.89,75,100,7.09,AS,1712414026
348,ghat,24.9647,10.1728,91.18,7,98,17.63,LY,1712414027
349,susuman,62.7833,148.1667,-3.01,97,29,1.99,RU,1712414029
350,al hadd,26.2456,50.6542,84.18,32,0,10.36,BH,1712414030
351,esikhaleni,-28.871,31.8996,70.45,86,100,7.7,ZA,1712414031
352,yeppoon,-23.1333,150.7333,71.38,85,100,4.12,AU,1712414032
353,la'ie,21.6477,-157.9253,71.46,77,32,15.01,US,1712414033
354,kalemie,-5.9475,29.1947,77.4,81,100,5.61,CD,1712414034
355,antigonish,45.6169,-61.9986,38.14,96,100,1.01,CA,1712413858
356,callao,-12.0667,-77.15,71.89,83,100,4.61,PE,1712414036
357,berdigestyakh,62.0989,126.6992,7.63,92,100,8.16,RU,1712414038
358,bafq,31.6128,55.4107,82.74,9,5,9.01,IR,1712414039
359,selfoss,63.9331,-20.9971,32.04,36,65,27.29,IS,1712414040
360,sarangani,5.4033,125.4636,82.42,84,10,24.72,PH,1712414042
361,nicoya,10.1483,-85.452,89.58,50,100,10.78,CR,1712414043
362,nuku'alofa,-21.1333,-175.2,75.54,83,20,8.05,TO,1712414044
